company_id,year,cash_from_operations_cr,capex_cr,free_cash_flow_calculated_cr,fcf_conversion_pct,capex_to_cfo_pct,cfo_available_flag,capital_allocation_pattern
ABB,Dec 2012,101.0,59.0,42.0,41.584158415841586,58.415841584158414,True,Positive FCF + CapEx
ABB,Mar 2014,155.0,144.0,11.0,7.096774193548387,92.90322580645162,True,Positive FCF + CapEx
ABB,Mar 2014,0.0,0.0,0.0,,,True,Negative FCF
ABB,Mar 2015,215.0,187.0,28.0,13.023255813953488,86.9767441860465,True,Positive FCF + CapEx
ABB,Mar 2015,-35.0,1864.0,-1899.0,5425.714285714286,-5325.714285714286,True,Negative FCF + CapEx
ABB,Mar 2016,249.0,77.0,172.0,69.07630522088354,30.923694779116467,True,Positive FCF + CapEx
ABB,Mar 2016,1544.0,816.0,728.0,47.15025906735752,52.84974093264248,True,Positive FCF + CapEx
ABB,Mar 2017,307.0,155.0,152.0,49.5114006514658,50.4885993485342,True,Positive FCF + CapEx
ABB,Mar 2017,2189.0,1730.0,459.0,20.96847875742348,79.03152124257652,True,Positive FCF + CapEx
ABB,Mar 2018,153.0,215.0,-62.0,-40.52287581699346,140.52287581699346,True,Negative FCF + CapEx
ABB,Mar 2018,2198.0,3192.0,-994.0,-45.22292993630573,145.22292993630572,True,Negative FCF + CapEx
ABB,Mar 2019,499.0,257.0,242.0,48.49699398797595,51.503006012024045,True,Positive FCF + CapEx
ABB,Mar 2019,2591.0,3050.0,-459.0,-17.715167888846008,117.715167888846,True,Negative FCF + CapEx
ABB,Mar 2020,626.0,401.0,225.0,35.94249201277955,64.05750798722045,True,Positive FCF + CapEx
ABB,Mar 2020,5437.0,5643.0,-206.0,-3.788854147507817,103.78885414750782,True,Negative FCF + CapEx
ABB,Mar 2021,727.0,72.0,655.0,90.09628610729024,9.903713892709765,True,Positive FCF + CapEx
ABB,Mar 2021,3784.0,4009.0,-225.0,-5.946088794926005,105.946088794926,True,Negative FCF + CapEx
ABB,Mar 2022,948.0,396.0,552.0,58.22784810126582,41.77215189873418,True,Positive FCF + CapEx
ABB,Mar 2022,4097.0,3936.0,161.0,3.9297046619477665,96.07029533805223,True,Positive FCF + CapEx
ABB,Mar 2023,893.0,148.0,745.0,83.42665173572227,16.573348264277715,True,Positive FCF + CapEx
ABB,Mar 2023,3777.0,4699.0,-922.0,-24.41090812814403,124.41090812814404,True,Negative FCF + CapEx
ABB,Mar 2024,1213.0,416.0,797.0,65.70486397361913,34.295136026380874,True,Positive FCF + CapEx
ABB,Mar 2024,6038.0,4943.0,1095.0,18.135144087446175,81.86485591255382,True,Positive FCF + CapEx
ADANIENSOL,Mar 2014,0.0,0.0,0.0,,,True,Negative FCF
ADANIENSOL,Mar 2015,-35.0,1864.0,-1899.0,5425.714285714286,-5325.714285714286,True,Negative FCF + CapEx
ADANIENSOL,Mar 2016,1544.0,816.0,728.0,47.15025906735752,52.84974093264248,True,Positive FCF + CapEx
ADANIENSOL,Mar 2017,2189.0,1730.0,459.0,20.96847875742348,79.03152124257652,True,Positive FCF + CapEx
ADANIENSOL,Mar 2018,2198.0,3192.0,-994.0,-45.22292993630573,145.22292993630572,True,Negative FCF + CapEx
ADANIENSOL,Mar 2019,2591.0,3050.0,-459.0,-17.715167888846008,117.715167888846,True,Negative FCF + CapEx
ADANIENSOL,Mar 2020,5437.0,5643.0,-206.0,-3.788854147507817,103.78885414750782,True,Negative FCF + CapEx
ADANIENSOL,Mar 2021,3784.0,4009.0,-225.0,-5.946088794926005,105.946088794926,True,Negative FCF + CapEx
ADANIENSOL,Mar 2022,4097.0,3936.0,161.0,3.9297046619477665,96.07029533805223,True,Positive FCF + CapEx
ADANIENSOL,Mar 2023,3777.0,4699.0,-922.0,-24.41090812814403,124.41090812814404,True,Negative FCF + CapEx
ADANIENSOL,Mar 2024,6038.0,4943.0,1095.0,18.135144087446175,81.86485591255382,True,Positive FCF + CapEx
ADANIENT,Mar 2013,7666.0,14790.0,-7124.0,-92.92981998434647,192.92981998434647,True,Negative FCF + CapEx
ADANIENT,Mar 2014,8228.0,8007.0,221.0,2.6859504132231407,97.31404958677686,True,Positive FCF + CapEx
ADANIENT,Mar 2015,8532.0,11465.0,-2933.0,-34.37646507266761,134.3764650726676,True,Negative FCF + CapEx
ADANIENT,Mar 2016,5112.0,1825.0,3287.0,64.29968701095461,35.700312989045386,True,Positive FCF + CapEx
ADANIENT,Mar 2017,774.0,1460.0,-686.0,-88.63049095607235,188.63049095607235,True,Negative FCF + CapEx
ADANIENT,Mar 2018,2942.0,7649.0,-4707.0,-159.99320190346702,259.993201903467,True,Negative FCF + CapEx
ADANIENT,Mar 2019,3236.0,2487.0,749.0,23.145859085290482,76.85414091470952,True,Positive FCF + CapEx
ADANIENT,Mar 2020,2454.0,1082.0,1372.0,55.90872045639772,44.09127954360228,True,Positive FCF + CapEx
ADANIENT,Mar 2021,4043.0,8611.0,-4568.0,-112.98540687608212,212.9854068760821,True,Negative FCF + CapEx
ADANIENT,Mar 2022,1385.0,17041.0,-15656.0,-1130.3971119133575,1230.3971119133575,True,Negative FCF + CapEx
