amfi_code,Tracking_Error
100016,0.19534541825693688
100025,0.13360686214981282
100033,0.22483819480215925
101206,0.18885223020556585
101207,0.2929983547207924
101208,0.12763989399159054
102885,0.1790732138243324
102886,0.223294629944714
102887,0.2017615661845301
118632,0.19019486441902816
118633,0.19271613831519432
118634,0.275135994805501
118635,0.17904079192673475
118636,0.13556198915715884
119092,0.1858209409998254
119093,0.18675365537719604
119094,0.23965780714308585
119095,0.28342784880408023
119120,0.13322762470177732
119551,0.19347526978517815
119552,0.19075797999169275
119598,0.28677166044443203
119599,0.2723665638851444
120503,0.18720254716141252
120504,0.18731172438825305
120505,0.23251471203241877
120506,0.19680151400921336
120507,0.12784236742389216
120841,0.1776247828422833
120842,0.22031484495786444
120843,0.20641014797016702
120844,0.12801367213486606
125497,0.19147501085624372
125498,0.22276821774034475
148567,0.18786716876053186
148568,0.20548342890616947
148569,0.21692421151826893
149322,0.19363654195771202
149323,0.21509781416797139
149324,0.27886789641361387
